"Species_Binomial:","Life_Stage:","value","source","target","LinkGroup","Effect_Category:","Categorical_Effect","color"
"Coregonus fontanae",NA,1,12,24,"Coregonus fontanae","Density","Development rate","#a6d854"
"Coregonus lavaretus",NA,1,12,18,"Coregonus lavaretus","Density","50% hatching time","#66c2a5"
"Coregonus lavaretus",NA,4,11,18,"Coregonus lavaretus","Growth","50% hatching time","#66c2a5"
"Coregonus lavaretus",NA,3,11,33,"Coregonus lavaretus","Growth","DEP","#66c2a5"
"Coregonus lavaretus",NA,1,11,24,"Coregonus lavaretus","Growth","Development rate","#66c2a5"
"Coregonus lavaretus",NA,3,11,16,"Coregonus lavaretus","Growth","Growth rate","#66c2a5"
"Coregonus lavaretus",NA,5,11,26,"Coregonus lavaretus","Growth","Length","#66c2a5"
"Coregonus lavaretus",NA,2,11,19,"Coregonus lavaretus","Growth","Mass","#66c2a5"
"Coregonus lavaretus",NA,2,11,27,"Coregonus lavaretus","Growth","Muscle development","#66c2a5"
"Coregonus lavaretus",NA,2,11,36,"Coregonus lavaretus","Growth","Otolith growth","#66c2a5"
"Coregonus lavaretus",NA,1,11,25,"Coregonus lavaretus","Growth","Year class strength","#66c2a5"
"Coregonus lavaretus",NA,1,13,35,"Coregonus lavaretus","Other","Growth efficiency","#66c2a5"
"Coregonus lavaretus",NA,3,13,23,"Coregonus lavaretus","Other","Other - Specific","#66c2a5"
"Coregonus lavaretus",NA,1,13,20,"Coregonus lavaretus","Other","Yolk","#66c2a5"
"Coregonus lavaretus",NA,2,10,17,"Coregonus lavaretus","Survival","Hatching survival rate","#66c2a5"
"Coregonus lavaretus",NA,1,10,23,"Coregonus lavaretus","Survival","Other - Specific","#66c2a5"
"Coregonus lavaretus",NA,1,10,28,"Coregonus lavaretus","Survival","Survival - Specific","#66c2a5"
"Coregonus lavaretus",NA,1,10,22,"Coregonus lavaretus","Survival","Survival/normal development","#66c2a5"
"Coregonus lavaretus",NA,1,10,15,"Coregonus lavaretus","Survival","Syncrony","#66c2a5"
"Coregonus lavaretus",NA,1,10,25,"Coregonus lavaretus","Survival","Year class strength","#66c2a5"
"Coregonus lavaretus macrophthalmus",NA,1,11,24,"Coregonus lavaretus macrophthalmus","Growth","Development rate","#66c2a5"
"Coregonus lavaretus macrophthalmus",NA,1,11,36,"Coregonus lavaretus macrophthalmus","Growth","Otolith growth","#66c2a5"
"Coregonus lavaretus wartmanni",NA,1,11,24,"Coregonus lavaretus wartmanni","Growth","Development rate","#66c2a5"
"Coregonus lavaretus wartmanni",NA,1,11,36,"Coregonus lavaretus wartmanni","Growth","Otolith growth","#66c2a5"
"Coregonus lavaretus wartmanni",NA,1,14,25,"Coregonus lavaretus wartmanni","Recruitment (general)","Year class strength","#66c2a5"
